"","topfeatures(hulu_dfm1, n = 100)"
"drama",187
"documentari",176
"comedi",111
"action",94
"adventur",91
"horror",68
"scienc",53
"realiti",50
"kid",47
"crime",42
"thriller",41
"anim",38
"lifestyl",35
"cultur",35
"technolog",34
"black",30
"stori",30
"famili",29
"sport",28
"romanc",28
"intern",28
"music",24
"fiction",19
"histori",17
"mysteri",17
"latino",16
"sitcom",15
"cook",15
"food",15
"news",15
"lgbtq",14
"classic",6
"cartoon",6
"teen",5
"game",4
"show",4
"adult",4
"well",3
"stand",1
